Property_ID,Customer_ID,Project_Name,Property_Type,BHK,City,Locality,Pincode,Latitude,Longitude,Area_sqft,Floor,Total_Floors,Price_per_sqft,Listed_Price,Discount_Pct,Final_Price,Booking_Date,Possession_Date,Customer_Age,Annual_Income,Family_Size,Occupation,Lead_Source,Campaign,Website_Visits,Calls,Site_Visits,Loan_Required,Loan_Amount,Interest_Rate,Loan_Tenure_Years,Amenities,Parking,Furnishing,Facing,Payment_Mode,Sales_Status,Days_to_Sale
SRP100010,CUST100010,Srijan Gardenia,Apartment,3 BHK,Kolkata,Howrah,700052,22.591258,88.371867,1240,16,23,6263,7766120,2.89,7541679,12/20/2024,3/19/2027,48,81600,4,IT Professional,Broker,Festive Offer,4,2,1,Yes,4346949,7.2,10,Swimming Pool,No,Semi-Furnished,North-East,Home Loan,Available,
SRP100011,CUST100011,Srijan Prime,Villa,2 BHK,Kolkata,New Town,711101,22.494719,88.33313,800,10,12,9281,7424800,11.68,6557583,3/12/2024,2/4/2026,22,55800,5,Engineer,Instagram,Summer Sale,3,4,2,Yes,3348000,8.18,25,Park,Yes,Unfurnished,South-East,Mixed,Available,
SRP100012,CUST100012,Srijan Prime,Apartment,3 BHK,Kolkata,New Town,711101,22.566287,88.460255,1499,28,28,5277,7910223,2.85,7684782,3/21/2023,1/6/2025,40,72700,1,Teacher,Google Ads,Digital Awareness,6,0,1,Yes,4362000,8.35,20,Swimming Pool,No,Semi-Furnished,South-East,Home Loan,Available,
SRP100013,CUST100013,Srijan Courtyard,Apartment,3 BHK,Kolkata,Dum Dum,700064,22.450437,88.383674,971,27,27,7716,7492236,8.9,6825427,4/14/2023,9/8/2025,21,84200,4,IT Professional,Instagram,Monsoon Offer,6,2,1,Yes,4258816,9.75,20,Park,Yes,Semi-Furnished,South,Mixed,Negotiation,
SRP100014,CUST100014,Srijan Harmony,Apartment,3 BHK,Kolkata,Tollygunge,700107,22.656276,88.31311,1955,23,23,7071,13823805,4.77,13164410,12/5/2022,10/8/2023,40,48600,3,IT Professional,Broker,Digital Awareness,9,2,2,Yes,2916000,8.46,25,Park,Yes,Fully Furnished,North,Home Loan,Available,
SRP100015,CUST100015,Srijan Urban Vista,Apartment,2 BHK,Kolkata,Garia,700064,22.729199,88.385857,1216,28,28,9651,11735616,4.27,11234505,3/5/2023,3/11/2025,33,102500,3,Doctor,Referral,Referral Drive,11,3,1,Yes,6150000,8.85,20,"Gym,Clubhouse",Yes,Fully Furnished,South-East,Mixed,Sold,99
SRP100016,CUST100016,Srijan Greenview,Villa,2 BHK,Kolkata,Howrah,700102,22.712317,88.387837,683,26,26,6052,4133516,8.8,3769767,10/7/2023,3/13/2024,53,35800,4,IT Professional,Walk-in,Digital Awareness,4,4,0,No,0,0,0,"Gym,Pool,Clubhouse",Yes,Fully Furnished,West,Home Loan,Available,
SRP100017,CUST100017,Srijan Prime,Apartment,3 BHK,Kolkata,Sonarpur,711101,22.573279,88.524022,1496,6,23,8309,12430264,5.65,11727954,2/25/2022,9/14/2022,34,55600,5,Government Employee,Website,Festive Offer,10,1,3,Yes,3336000,9.08,15,"Gym,Clubhouse",No,Semi-Furnished,North-East,Self Funded,Negotiation,
SRP100018,CUST100018,Srijan Harmony,Apartment,2 BHK,Kolkata,New Town,700102,22.718331,88.25738,1006,1,32,9200,9255200,0,9255200,6/16/2024,12/25/2025,44,31900,2,Other,Property Portal,Digital Awareness,6,6,1,Yes,1914000,9.99,30,Clubhouse,Yes,Unfurnished,East,Home Loan,Available,
SRP100019,CUST100019,Srijan Greenview,Apartment,2 BHK,Kolkata,Garia,700124,22.643274,88.434289,1336,6,27,5216,6968576,0,6968576,8/15/2025,6/3/2027,33,175300,3,Doctor,Referral,Digital Awareness,7,4,0,No,0,0,0,"Gym,Pool,Clubhouse",Yes,Fully Furnished,West,Home Loan,Available,
SRP100020,CUST100020,Srijan Urban Vista,Apartment,3 BHK,Kolkata,Garia,700102,22.653057,88.485314,1609,27,27,4825,7763425,4.14,7442019,8/26/2024,2/5/2027,37,48500,2,Engineer,Website,New Year Campaign,7,1,1,Yes,2910000,8.53,20,"Gym,Pool,Clubhouse",Yes,Semi-Furnished,West,Home Loan,Sold,45
SRP100021,CUST100021,Srijan Realty Heights,Apartment,3 BHK,Kolkata,EM Bypass,700124,22.518147,88.401817,1781,24,24,6486,11551566,3.9,11101055,9/8/2023,8/26/2025,45,53100,2,Other,Broker,Summer Sale,8,0,2,No,0,0,0,"Gym,Clubhouse",Yes,Unfurnished,South,Home Loan,Available,
SRP100022,CUST100022,Srijan Meadows,Villa,2 BHK,Kolkata,Garia,700084,22.490079,88.347819,1441,23,26,5600,8069600,7.06,7499886,12/23/2023,1/31/2026,38,62900,4,Engineer,Website,Summer Sale,3,1,2,Yes,3774000,8.35,20,"Gym,Clubhouse",Yes,Unfurnished,South,Mixed,Sold,77
SRP100023,CUST100023,Srijan Harmony,Apartment,4 BHK,Kolkata,EM Bypass,700033,22.518383,88.449605,2302,15,20,7224,16629648,2.56,16203929,5/24/2023,10/20/2024,41,92400,4,Business Owner,Email Campaign,Referral Drive,3,3,1,Yes,5544000,9.95,25,"Gym,Clubhouse",Yes,Semi-Furnished,South,Mixed,Available,
SRP100024,CUST100024,Srijan Enclave,Plot,3 BHK,Kolkata,Howrah,700102,22.498216,88.300638,559,6,13,5579,3118661,7.73,2877589,9/7/2023,5/19/2025,36,61300,2,Business Owner,Referral,Referral Drive,8,2,0,No,0,0,0,Gym,No,Semi-Furnished,West,Self Funded,Available,
SRP100025,CUST100025,Srijan Realty Heights,Apartment,1 BHK,Kolkata,Sonarpur,700102,22.646557,88.481599,1202,22,29,7502,9017404,2.61,8782050,1/2/2023,12/5/2023,26,66200,3,IT Professional,Walk-in,Premium Launch,13,2,1,Yes,3972000,9.35,15,"Gym,Pool",Yes,Fully Furnished,West,Home Loan,Sold,92
SRP100026,CUST100026,Srijan Meadows,Villa,4 BHK,Kolkata,EM Bypass,700084,22.639945,88.43202,1987,8,23,5394,10717878,1.29,10579617,3/2/2025,6/2/2026,35,47600,4,Business Owner,Walk-in,Premium Launch,5,4,1,No,0,0,0,"Gym,Pool",No,Semi-Furnished,West,Home Loan,Available,
SRP100027,CUST100027,Srijan Courtyard,Apartment,2 BHK,Kolkata,Rajarhat,700084,22.57113,88.360987,762,14,14,8286,6313932,2.1,6181339,3/26/2022,9/2/2022,44,41500,6,Business Owner,Google Ads,Premium Launch,5,5,1,Yes,2490000,7.45,15,Park,No,Semi-Furnished,North-East,Mixed,Negotiation,
SRP100028,CUST100028,Srijan Residency,Apartment,3 BHK,Kolkata,Behala,700124,22.53672,88.471802,1482,22,33,7010,10388820,7.05,9656408,6/5/2024,12/21/2025,32,42700,4,Engineer,Walk-in,Digital Awareness,7,1,2,No,0,0,0,Park,No,Semi-Furnished,East,Home Loan,Sold,119
SRP100029,CUST100029,Srijan Gardenia,Apartment,3 BHK,Kolkata,Tollygunge,700052,22.537521,88.335501,1087,25,31,5534,6015458,2.86,5843416,5/23/2023,4/29/2024,38,66900,3,Private Employee,Referral,Monsoon Offer,7,1,0,No,0,0,0,"Pool,Park",Yes,Unfurnished,West,Self Funded,Sold,86
SRP100030,CUST100030,Srijan Enclave,Apartment,5 BHK,Kolkata,EM Bypass,700019,22.481957,88.479974,1204,11,20,6971,8393084,9.11,7628474,8/11/2025,5/1/2026,23,80600,1,Self Employed,Website,Premium Launch,10,6,3,Yes,3840691,8.79,20,"Gym,Clubhouse",Yes,Unfurnished,South-East,Mixed,Sold,45
SRP100031,CUST100031,Srijan Courtyard,Villa,2 BHK,Kolkata,Sonarpur,700107,22.626576,88.489057,1244,18,26,8004,9956976,1.09,9848445,8/28/2022,12/20/2022,46,48800,4,IT Professional,Facebook,Referral Drive,10,6,0,Yes,2928000,8.72,25,Clubhouse,Yes,Semi-Furnished,North-East,Home Loan,Available,
SRP100032,CUST100032,Srijan Urban Vista,Penthouse,3 BHK,Kolkata,Ballygunge,700033,22.629873,88.355386,1780,8,22,5225,9300500,3.81,8946151,3/3/2025,9/11/2025,32,57300,6,Engineer,Google Ads,New Year Campaign,9,3,0,Yes,3438000,10.07,25,"Gym,Pool,Clubhouse",Yes,Semi-Furnished,West,Mixed,Sold,7
SRP100033,CUST100033,Srijan Courtyard,Apartment,4 BHK,Kolkata,Salt Lake,700102,22.721349,88.421863,1266,11,30,8095,10248270,11.99,9019502,2/27/2025,7/4/2025,47,65600,4,Business Owner,Email Campaign,New Year Campaign,12,1,0,No,0,0,0,"Gym,Pool,Clubhouse",Yes,Unfurnished,East,Mixed,Available,
SRP100034,CUST100034,Srijan Residency,Apartment,3 BHK,Kolkata,EM Bypass,700124,22.589281,88.459434,557,7,28,7217,4019869,8.86,3663709,11/11/2024,12/6/2026,52,106000,2,Private Employee,Email Campaign,New Year Campaign,4,1,1,Yes,2450630,8.74,20,Gym,Yes,Unfurnished,West,Home Loan,Sold,21
SRP100035,CUST100035,Srijan Urban Vista,Plot,4 BHK,Kolkata,Rajarhat,700107,22.517506,88.454312,1239,3,12,7175,8889825,1.84,8726252,7/27/2022,12/2/2024,30,25000,6,Private Employee,Property Portal,Summer Sale,10,1,1,No,0,0,0,Basic,No,Semi-Furnished,North-East,Self Funded,Sold,81
SRP100036,CUST100036,Srijan Enclave,Apartment,4 BHK,Kolkata,Tollygunge,700064,22.621854,88.465115,901,1,21,6143,5534843,3.25,5354961,4/29/2022,3/13/2024,40,102300,2,Doctor,Facebook,Premium Launch,8,4,3,Yes,3605111,9.18,20,Park,Yes,Semi-Furnished,West,Home Loan,Sold,62
SRP100037,CUST100037,Srijan Residency,Plot,2 BHK,Kolkata,New Town,700019,22.461977,88.440505,1328,25,25,9472,12578816,6.6,11748614,5/8/2022,5/30/2023,23,74200,3,Engineer,Property Portal,Referral Drive,12,1,1,No,0,0,0,"Pool,Park",No,Unfurnished,North,Self Funded,Negotiation,
SRP100038,CUST100038,Srijan Greenview,Apartment,3 BHK,Kolkata,Garia,711101,22.45487,88.514507,1536,10,12,7276,11175936,1.87,10966946,3/1/2024,7/18/2026,48,49400,3,Doctor,Broker,Summer Sale,8,3,3,Yes,2964000,8.04,25,Park,Yes,Unfurnished,North-East,Self Funded,Sold,25
SRP100039,CUST100039,Srijan Gardenia,Apartment,2 BHK,Kolkata,Howrah,700064,22.630017,88.455275,661,13,25,4307,2846927,6.44,2663585,8/24/2024,2/8/2025,26,71600,1,Government Employee,Instagram,Referral Drive,3,0,1,Yes,1368315,8.86,15,"Gym,Pool",Yes,Unfurnished,West,Mixed,Available,
SRP100040,CUST100040,Srijan Enclave,Apartment,1 BHK,Kolkata,Behala,700091,22.554648,88.319671,1684,12,12,5775,9725100,2.22,9509203,11/28/2023,12/15/2024,21,86800,3,Self Employed,Referral,New Year Campaign,9,4,1,Yes,5208000,8.75,20,Gym,Yes,Semi-Furnished,South-East,Mixed,Available,
SRP100041,CUST100041,Srijan Greenview,Apartment,3 BHK,Kolkata,Behala,700091,22.540782,88.383201,1193,6,25,7113,8485809,9.56,7674566,5/3/2024,5/12/2025,32,37600,6,Business Owner,Referral,New Year Campaign,9,2,3,Yes,2256000,8.53,25,"Pool,Park",Yes,Unfurnished,South,Home Loan,Sold,10
SRP100042,CUST100042,Srijan Meadows,Penthouse,4 BHK,Kolkata,Barasat,700033,22.615282,88.264834,680,9,29,8391,5705880,6.08,5358962,5/29/2023,11/26/2024,32,59000,4,Business Owner,Walk-in,Referral Drive,7,3,2,Yes,3294024,8.13,25,Park,Yes,Semi-Furnished,East,Self Funded,Sold,44
SRP100043,CUST100043,Srijan Enclave,Apartment,3 BHK,Kolkata,Ballygunge,711101,22.525079,88.525294,1289,5,19,7083,9129987,1.46,8996689,9/5/2024,2/14/2027,29,25000,5,Private Employee,Website,Premium Launch,7,3,0,Yes,1500000,8.83,20,Basic,No,Unfurnished,South-East,Home Loan,Available,
SRP100044,CUST100044,Srijan Meadows,Apartment,1 BHK,Kolkata,Barasat,700084,22.574129,88.300134,1548,10,17,4344,6724512,6.91,6259848,2/19/2022,6/23/2022,31,31600,4,Engineer,Property Portal,Summer Sale,5,3,0,Yes,1896000,9.9,25,Gym,No,Semi-Furnished,South,Mixed,Sold,51
SRP100045,CUST100045,Srijan Urban Vista,Apartment,2 BHK,Kolkata,Salt Lake,700124,22.730459,88.453602,737,3,6,7914,5832618,8.32,5347344,8/15/2024,2/6/2026,52,68600,3,Self Employed,Email Campaign,Digital Awareness,9,4,0,Yes,4058002,8.42,20,Swimming Pool,Yes,Fully Furnished,North-East,Home Loan,Sold,83
SRP100046,CUST100046,Srijan Greenview,Penthouse,2 BHK,Kolkata,Dum Dum,700107,22.499853,88.38323,1386,27,27,5255,7283430,2.79,7080222,12/12/2024,3/9/2027,46,94000,1,Government Employee,Walk-in,Premium Launch,6,0,1,Yes,5122942,8.03,15,"Gym,Pool,Clubhouse",Yes,Semi-Furnished,South-East,Mixed,Available,
SRP100047,CUST100047,Srijan Gardenia,Apartment,2 BHK,Kolkata,Salt Lake,700124,22.520435,88.449094,568,7,7,5969,3390392,0,3390392,7/16/2024,5/21/2025,39,94300,4,Doctor,Instagram,Monsoon Offer,8,2,0,Yes,2076953,9.73,25,Park,Yes,Fully Furnished,North-East,Mixed,Negotiation,
SRP100048,CUST100048,Srijan Residency,Apartment,4 BHK,Kolkata,Sonarpur,700033,22.7476,88.539833,1187,11,25,7409,8794483,0.97,8709177,12/20/2022,2/20/2024,31,66500,6,Doctor,Referral,New Year Campaign,8,5,1,Yes,3990000,7.41,25,Gym,No,Unfurnished,South,Home Loan,Available,
SRP100049,CUST100049,Srijan Prime,Apartment,4 BHK,Kolkata,EM Bypass,700052,22.600718,88.450866,1767,13,13,6531,11540277,3.19,11172142,10/27/2023,1/25/2024,29,85100,1,Engineer,Property Portal,Summer Sale,6,3,1,Yes,5106000,7.43,20,Swimming Pool,No,Unfurnished,North-East,Home Loan,Negotiation,
SRP100050,CUST100050,Srijan Courtyard,Apartment,2 BHK,Kolkata,Salt Lake,700052,22.638683,88.453995,997,10,10,4242,4229274,5.99,3975940,2/16/2024,3/28/2026,50,94000,2,Teacher,Broker,Digital Awareness,11,3,0,No,0,0,0,"Gym,Pool,Clubhouse",Yes,Unfurnished,South-East,Self Funded,Available,
SRP100051,CUST100051,Srijan Realty Heights,Apartment,2 BHK,Kolkata,New Town,700107,22.701234,88.384336,2144,13,13,7586,16264384,5.3,15402372,8/25/2023,9/22/2024,46,69900,1,Government Employee,Walk-in,Digital Awareness,6,2,0,No,0,0,0,"Gym,Pool,Clubhouse",Yes,Semi-Furnished,South,Home Loan,Available,
SRP100052,CUST100052,Srijan Gardenia,Apartment,2 BHK,Kolkata,Rajarhat,700102,22.689049,88.373872,2043,26,30,6216,12699288,9.41,11504285,7/22/2022,1/17/2024,41,103700,4,Teacher,Broker,Summer Sale,7,4,1,No,0,0,0,"Gym,Clubhouse",Yes,Semi-Furnished,North,Self Funded,Available,
SRP100053,CUST100053,Srijan Greenview,Apartment,4 BHK,Kolkata,Rajarhat,700033,22.45715,88.43782,812,26,34,5750,4669000,6.44,4368316,9/30/2022,1/26/2024,21,87500,5,IT Professional,Website,Digital Awareness,5,1,0,Yes,2397522,7.46,15,"Gym,Pool,Clubhouse",Yes,Unfurnished,South-East,Home Loan,Sold,97
SRP100054,CUST100054,Srijan Prime,Penthouse,3 BHK,Kolkata,Rajarhat,711101,22.478707,88.287923,1493,25,25,6633,9903069,6.11,9297991,7/31/2022,7/19/2023,44,91200,2,Teacher,Website,Festive Offer,5,5,0,Yes,5472000,7.41,15,"Gym,Pool",Yes,Semi-Furnished,West,Mixed,Available,
SRP100055,CUST100055,Srijan Gardenia,Apartment,1 BHK,Kolkata,Barasat,711101,22.679804,88.311919,1079,14,28,6057,6535503,5.23,6193696,8/8/2025,1/4/2028,31,69400,3,Government Employee,Google Ads,Digital Awareness,10,4,3,No,0,0,0,"Pool,Park",Yes,Unfurnished,East,Home Loan,Negotiation,
SRP100056,CUST100056,Srijan Greenview,Apartment,3 BHK,Kolkata,Tollygunge,700064,22.515013,88.354987,1197,25,28,7337,8782389,7.53,8121075,5/12/2023,9/10/2024,35,43100,2,Government Employee,Broker,Referral Drive,12,1,1,Yes,2586000,7.91,20,"Gym,Clubhouse",No,Semi-Furnished,North,Home Loan,Negotiation,
SRP100057,CUST100057,Srijan Harmony,Penthouse,2 BHK,Kolkata,Barasat,700084,22.530266,88.262106,450,12,12,6196,2788200,1.98,2732994,11/13/2022,5/5/2024,39,124300,5,Business Owner,Email Campaign,Festive Offer,13,3,0,Yes,1318918,10.08,20,"Gym,Pool",Yes,Semi-Furnished,West,Home Loan,Available,
SRP100058,CUST100058,Srijan Harmony,Apartment,2 BHK,Kolkata,Rajarhat,700091,22.623301,88.267029,1483,30,30,5020,7444660,7.62,6877377,10/5/2024,11/20/2026,39,64700,4,IT Professional,Google Ads,New Year Campaign,8,2,2,Yes,3882000,8.52,20,"Gym,Pool",Yes,Semi-Furnished,South-East,Home Loan,Sold,82
SRP100059,CUST100059,Srijan Meadows,Apartment,4 BHK,Kolkata,Tollygunge,700124,22.58336,88.341581,1595,18,30,5826,9292470,0.81,9217201,12/26/2025,4/4/2027,49,50500,1,Other,Website,Monsoon Offer,11,1,0,No,0,0,0,"Gym,Pool,Clubhouse",No,Semi-Furnished,North,Mixed,Sold,9
SRP100060,CUST100060,Srijan Gardenia,Apartment,2 BHK,Kolkata,EM Bypass,700084,22.68411,88.458843,1466,13,17,5419,7944254,1.91,7792519,4/16/2023,7/3/2024,39,144600,4,Self Employed,Facebook,Referral Drive,6,5,0,No,0,0,0,"Gym,Clubhouse",Yes,Unfurnished,West,Home Loan,Negotiation,
SRP100061,CUST100061,Srijan Harmony,Apartment,2 BHK,Kolkata,New Town,711101,22.607369,88.373778,2137,9,15,6860,14659820,0.31,14614375,6/15/2023,4/27/2024,21,110400,2,Private Employee,Property Portal,Referral Drive,14,1,2,No,0,0,0,Clubhouse,Yes,Semi-Furnished,South,Mixed,Sold,51
SRP100062,CUST100062,Srijan Greenview,Villa,4 BHK,Kolkata,Salt Lake,700102,22.57827,88.469887,802,1,7,5260,4218520,5.97,3966674,2/23/2025,10/2/2025,31,122100,4,Teacher,Broker,Monsoon Offer,11,1,0,Yes,2203649,9.17,15,"Gym,Pool",Yes,Unfurnished,West,Self Funded,Sold,7
SRP100063,CUST100063,Srijan Meadows,Apartment,4 BHK,Kolkata,Dum Dum,700019,22.491369,88.424879,1257,16,20,7074,8892018,8.33,8151313,10/4/2022,6/12/2023,36,94300,4,Engineer,Google Ads,Premium Launch,12,4,0,Yes,5658000,7.72,20,Gym,Yes,Semi-Furnished,East,Home Loan,Available,
SRP100064,CUST100064,Srijan Greenview,Apartment,5 BHK,Kolkata,Salt Lake,700102,22.548021,88.379368,880,11,34,4116,3622080,0,3622080,8/30/2022,3/6/2024,31,92500,2,Government Employee,Referral,Digital Awareness,5,3,3,No,0,0,0,"Pool,Park",No,Semi-Furnished,South-East,Mixed,Sold,41
SRP100065,CUST100065,Srijan Meadows,Villa,3 BHK,Kolkata,Salt Lake,700064,22.626815,88.540274,910,4,34,5525,5027750,11.55,4447045,5/15/2024,12/16/2025,47,35500,5,Government Employee,Instagram,Digital Awareness,7,4,2,Yes,2130000,7.97,10,"Gym,Clubhouse",Yes,Unfurnished,North,Mixed,Negotiation,
SRP100066,CUST100066,Srijan Gardenia,Apartment,3 BHK,Kolkata,New Town,700091,22.650736,88.384446,1508,27,27,9614,14497912,6.81,13510604,8/19/2024,5/16/2026,42,83200,5,Teacher,Referral,Digital Awareness,12,3,1,Yes,4992000,9.36,20,Swimming Pool,No,Semi-Furnished,South-East,Mixed,Sold,25
SRP100067,CUST100067,Srijan Prime,Apartment,3 BHK,Kolkata,Ballygunge,700107,22.521598,88.329336,1543,16,27,9971,15385253,7.53,14226743,2/14/2024,7/7/2025,21,91000,5,Government Employee,Referral,Monsoon Offer,5,1,1,Yes,5460000,7.62,25,Gym,Yes,Semi-Furnished,North,Home Loan,Sold,16
SRP100068,CUST100068,Srijan Residency,Apartment,1 BHK,Kolkata,Tollygunge,700107,22.645211,88.25273,592,11,27,7933,4696336,6.57,4387787,4/4/2024,11/2/2025,21,100900,2,Private Employee,Facebook,Digital Awareness,7,2,0,Yes,2891810,10.1,10,"Gym,Clubhouse",Yes,Semi-Furnished,East,Home Loan,Available,
SRP100069,CUST100069,Srijan Enclave,Apartment,3 BHK,Kolkata,New Town,711101,22.532026,88.473733,1614,9,30,7688,12408432,5.5,11725968,12/13/2025,5/22/2027,63,129900,3,Self Employed,Instagram,Festive Offer,6,4,0,Yes,5302290,8.47,15,"Gym,Pool",Yes,Unfurnished,North-East,Mixed,Available,
SRP100070,CUST100070,Srijan Prime,Plot,2 BHK,Kolkata,Barasat,700033,22.672319,88.529079,1149,2,13,6370,7319130,3.9,7033684,6/24/2025,11/16/2025,28,49200,2,Engineer,Facebook,Referral Drive,7,4,2,No,0,0,0,Gym,Yes,Semi-Furnished,North,Self Funded,Sold,85
SRP100071,CUST100071,Srijan Urban Vista,Plot,3 BHK,Kolkata,Barasat,711101,22.530602,88.461528,718,9,9,4443,3190074,1.59,3139352,12/18/2025,12/10/2027,37,66400,4,Business Owner,Property Portal,New Year Campaign,8,2,0,Yes,1451145,9.8,30,Basic,Yes,Unfurnished,West,Mixed,Sold,104
SRP100072,CUST100072,Srijan Greenview,Apartment,4 BHK,Kolkata,Ballygunge,700102,22.689712,88.328374,1404,20,20,8800,12355200,2.89,11998135,5/19/2023,12/26/2023,34,87300,3,IT Professional,Google Ads,Digital Awareness,12,6,0,Yes,5238000,7.94,20,Swimming Pool,Yes,Semi-Furnished,West,Home Loan,Sold,48
SRP100073,CUST100073,Srijan Urban Vista,Apartment,3 BHK,Kolkata,Garia,700124,22.669936,88.412264,1374,17,30,6017,8267358,8.35,7577034,9/13/2024,1/1/2026,40,102500,4,Teacher,Google Ads,Summer Sale,7,3,1,No,0,0,0,Basic,Yes,Semi-Furnished,South-East,Mixed,Available,
SRP100074,CUST100074,Srijan Prime,Villa,2 BHK,Kolkata,Barasat,711101,22.544402,88.300172,949,19,22,7604,7216196,3.41,6970124,12/27/2023,8/22/2024,43,37500,3,Self Employed,Email Campaign,Referral Drive,9,4,0,Yes,2250000,8.08,15,"Gym,Pool,Clubhouse",Yes,Semi-Furnished,South-East,Home Loan,Available,
SRP100075,CUST100075,Srijan Meadows,Apartment,2 BHK,Kolkata,Dum Dum,700019,22.657481,88.397271,1024,10,12,6015,6159360,0,6159360,9/23/2023,1/13/2025,36,42300,3,Business Owner,Property Portal,Digital Awareness,4,2,1,Yes,2538000,7.95,20,"Gym,Clubhouse",Yes,Semi-Furnished,East,Home Loan,Available,
SRP100076,CUST100076,Srijan Enclave,Penthouse,2 BHK,Kolkata,Behala,700052,22.589098,88.349332,1222,28,28,7480,9140560,5.49,8638743,2/10/2024,12/8/2025,39,93400,2,Engineer,Website,New Year Campaign,6,5,0,No,0,0,0,Swimming Pool,Yes,Fully Furnished,West,Self Funded,Available,
SRP100077,CUST100077,Srijan Enclave,Villa,2 BHK,Kolkata,Howrah,700102,22.685032,88.363608,870,2,7,9335,8121450,4.18,7781973,5/5/2024,5/14/2025,44,90600,3,Other,Property Portal,Monsoon Offer,7,2,2,No,0,0,0,Clubhouse,Yes,Fully Furnished,North,Mixed,Sold,73
SRP100078,CUST100078,Srijan Realty Heights,Apartment,4 BHK,Kolkata,Tollygunge,700052,22.521932,88.345509,1009,9,25,6902,6964118,1.71,6845032,5/2/2024,11/27/2025,35,35600,2,Other,Facebook,Festive Offer,7,2,0,Yes,2136000,8.72,15,Swimming Pool,Yes,Semi-Furnished,East,Home Loan,Available,
